#Fields: date time c-ip cs-username cs-method cs-uri-stem cs-uri-query sc-status sc-bytes cs(User-Agent) cs(Referer)
2012-12-16 15:40:11 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 15:50:26 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 15:50:47 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:07:41 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:09:00 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:11:08 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:11:33 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:11:54 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:15:15 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:17:44 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:20:37 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:21:19 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:23:35 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:29:02 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:30:16 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:32:41 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:33:50 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:34:11 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
2012-12-16 16:35:31 81.84.46.0 EMULATED_IPHONE_4_B6DA1091-BE1B-3EF5-B7FF-1C54E192D807 GET /device/start.event - 200 0 Mozilla/5.0+(Linux;+U;+Android+4.0;+en-us;+iPhone+4+Build/FRF91)+AppleWebKit/533.1+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/533.1 http://cities.dharugdalang-3.4.0-index.html
